Phase,Iteration,Time,Speed,Acceleration,F_motor,F_res,F_total
Accelerating,381,190.5,69.6264,0.402248,54.6966,13.3545,41.3421
Accelerating,382,191,69.8258,0.398771,54.3811,13.3963,40.9848
Accelerating,383,191.5,70.0234,0.395349,54.071,13.4379,40.6331
Coasting,384,192,69.9579,-0.131149,0,13.4792,-13.4792
Coasting,385,192.5,69.8924,-0.131015,0,13.4655,-13.4655
Coasting,386,193,69.8269,-0.130882,0,13.4518,-13.4518
Coasting,387,193.5,69.7615,-0.130749,0,13.4381,-13.4381
Coasting,388,194,69.6962,-0.130617,0,13.4245,-13.4245
Coasting,389,194.5,69.631,-0.130484,0,13.4109,-13.4109
Coasting,390,195,69.5658,-0.130352,0,13.3973,-13.3973
Coasting,391,195.5,69.5007,-0.13022,0,13.3837,-13.3837
Coasting,392,196,69.4357,-0.130088,0,13.3702,-13.3702
Coasting,393,196.5,69.3707,-0.129956,0,13.3566,-13.3566
Coasting,394,197,69.3058,-0.129825,0,13.3431,-13.3431
Coasting,395,197.5,69.2409,-0.129694,0,13.3297,-13.3297
Coasting,396,198,69.1761,-0.129563,0,13.3162,-13.3162
Coasting,397,198.5,69.1114,-0.129432,0,13.3028,-13.3028
Coasting,398,199,69.0468,-0.129302,0,13.2894,-13.2894
Coasting,399,199.5,68.9822,-0.129172,0,13.276,-13.276
