Phase,Iteration,Time (s),Total time (s),Distance (m),TotalDistance (m),Odo (m),Braking Distance,Slope,Radius,Speed (km/h),Speed Limit(km/h),Speed (m/s),Acceleration (km/h/s),Acceleration (m/s2),F Motor,F Res,F Total,F Motor /TM,F Res / TM,Torque,RPM,P Wheel,P_motor Out,P_motor In,P_vvvf,P_catenary,Catenary current,VVVF current,Energy Consumption,Energy of Powering,Energy of APS,Energy Catenary,Run res at 0,Run res at 5,Run res at 10,Run res at 25
Coasting,1858,1,1858,19.680013420825645,28987.66970710764,7721.401769987018,205.74281031522526,0,2000,70.77771511633212,70,19.6604764212034,-0.14097433300502132,-0.039159536945839256,0,13.6666783940979,-13.6666783940979,0,0.5694449330874125,0,1309.8399094783979,0,0,0,0,0,0,0,46.3908853582378,215.44179989535584,0,291.0088113427812,0,0,0,0
Coasting,1859,1,1859,19.640896652730447,29007.310603760372,7741.042666639749,204.73805282636715,0,2000,70.63704756104232,70,19.621402100289565,-0.1406675552897977,-0.0390743209138327,0,13.636937998927612,-13.636937998927612,0,0.5682057499553171,0,1307.2366610182787,0,0,0,0,0,0,0,46.3908853582378,215.44179989535584,0,291.0088113427812,0,0,0,0
Coasting,1860,1,1860,19.601864939832616,29026.912468700204,7760.644531579582,203.7414482008209,0,2000,70.49668568289617,70,19.582412689693413,-0.14036187814614928,-0.03898941059615258,0,13.607304298057251,-13.607304298057251,0,0.5669710124190521,0,1304.6390695382065,0,0,0,0,0,0,0,46.3908853582378,215.44179989535584,0,291.0088113427812,0,0,0,0
Coasting,1861,1,1861,19.562917984395305,29046.4753866846,7780.207449563977,202.7529261284314,0,2000,70.3566283449026,70,19.543507873584087,-0.14005733799357117,-0.03890481610932533,0,13.57778082215454,-13.57778082215454,0,0.5657408675897725,0,1302.047113996582,0,0,0,0,0,0,0,46.3908853582378,215.44179989535584,0,291.0088113427812,0,0,0,0
Coasting,1862,1,1862,19.524055465529393,29065.99944215013,7799.7315050295065,201.77241666898647,0,2000,70.21687445210718,70,19.50468734780758,-0.13975389279542555,-0.038820525776507096,0,13.548363496000977,-13.548363496000977,0,0.5645151456667074,0,1299.4607741297532,0,0,0,0,0,0,0,46.3908853582378,215.44179989535584,0,291.0088113427812,0,0,0,0
Coasting,1863,1,1863,19.485277084919296,29085.48471923505,7819.216782114426,200.79985079861268,0,2000,70.07742289415428,70,19.465950803931776,-0.13945155795288858,-0.03873654387580238,0,13.51905381265503,-13.51905381265503,0,0.5632939088606262,0,1296.8800293890474,0,0,0,0,0,0,0,46.3908853582378,215.44179989535584,0,291.0088113427812,0,0,0,0
Coasting,1864,1,1864,19.446582531993844,29104.931301767043,7838.66336464642,199.83515999937896,0,2000,69.93827256068832,70,19.427297933524564,-0.13915033346596026,-0.03865287040721118,0,13.489851772116701,-13.489851772116701,0,0.5620771571715292,0,1294.3048592257924,0,0,0,0,0,0,0,46.3908853582378,215.44179989535584,0,291.0088113427812,0,0,0,0
Coasting,1865,1,1865,19.407971498320926,29124.339273265363,7858.071336144741,198.8780894898242,0,2000,69.799422362372,70,19.388728433992252,-0.13885019831632164,-0.03856949953231156,0,13.460755336776735,-13.460755336776735,0,0.5608648056990306,0,1291.735243480289,0,0,0,0,0,0,0,46.3908853582378,215.44179989535584,0,291.0088113427812,0,0,0,0
Coasting,1866,1,1866,19.369443684226063,29143.70871694959,7877.440779828967,197.92716481901508,0,2000,69.66087120008399,70,19.35024200002336,-0.1385511622880062,-0.038486433968890614,0,13.431765455142823,-13.431765455142823,0,0.5596568939642843,0,1289.1711618117697,0,0,0,0,0,0,0,46.3908853582378,215.44179989535584,0,291.0088113427812,0,0,0,0
Coasting,1867,1,1867,19.330998783038883,29163.03971573263,7896.771778612006,196.98205171652126,0,2000,69.52261799010415,70,19.311838330584518,-0.13825320997983778,-0.03840366943884383,0,13.402880634156496,-13.402880634156496,0,0.5584533597565207,0,1286.6125941644889,0,0,0,0,0,0,0,46.3908853582378,215.44179989535584,0,291.0088113427812,0,0,0,0
